case,system,gold_id,gold,predicted,via,computed
case_01,agent,a_rows,violated,violated,span,row_count=32591
case_01,agent,a_prov,unverifiable,unverifiable,span,
case_01,agent,a_age,holds,holds,span,"min=17, max=90"
case_01,agent,a_sex,holds,holds,span,"values=Female, Male"
case_01,agent,a_race,violated,violated,span,"6 categories: ['Amer-Indian-Eskimo', 'Asian-Pac-Islander', 'Black', 'Other', 'Pacific-Islander-Other', 'White']"
case_01,agent,a_income,holds,holds,span,"unique values: ['<=50K', '>50K']"
case_01,agent,a_hours,holds,holds,span,"min=1, max=99"
case_01,agent,a_nulls,violated,unverifiable,span,
case_01,agent,a_mean_age,violated,violated,span,mean age = 38.58 (stated 42.3)
case_01,baseline,a_rows,violated,unverifiable,span,
case_01,baseline,a_prov,unverifiable,unverifiable,span,
case_01,baseline,a_age,holds,unverifiable,span,
case_01,baseline,a_sex,holds,holds,span,"Only Male and Female observed across all 50 sampled rows, matching object dtype"
case_01,baseline,a_race,violated,unverifiable,span,
case_01,baseline,a_income,holds,holds,span,Only '<=50K' and '>50K' observed in the sample's income column
case_01,baseline,a_hours,holds,unverifiable,span,
case_01,baseline,a_nulls,violated,holds,span,"No empty/null cells observed in the 50-row sample; '?' appears in workclass, occupation, and native_country for missing entries"
case_01,baseline,a_mean_age,violated,violated,span,"Sample mean age ≈ 38.28 years (from the 50 rows shown), notably lower than claimed"
case_01,baseline_plus,a_rows,violated,violated,span,"32,591 records (row count per summary statistics)"
case_01,baseline_plus,a_prov,unverifiable,unverifiable,span,
case_01,baseline_plus,a_age,holds,holds,span,"min age 17, max age 90"
case_01,baseline_plus,a_sex,holds,holds,span,"sex unique=2, values Male/Female"
case_01,baseline_plus,a_race,violated,violated,span,"race unique=6 (White, Black, Asian-Pac-Islander, Amer-Indian-Eskimo, Other, Pacific-Islander-Other)"
case_01,baseline_plus,a_income,holds,holds,span,"income unique=2, values <=50K and >50K"
case_01,baseline_plus,a_hours,holds,holds,span,"min hours_per_week 1, max 99"
case_01,baseline_plus,a_nulls,violated,holds,span,"workclass, occupation, and native_country columns contain a '?' category (1837, 1843, and 584 occurrences respectively)"
case_01,baseline_plus,a_mean_age,violated,violated,span,mean age = 38.58 years
case_01,baseline_stratified,a_rows,violated,violated,span,"32,591 rows, per the provided row-range spans (rows 0-10862, 10863-21726, 21727-32590 = 32,591 total rows)"
case_01,baseline_stratified,a_prov,unverifiable,unverifiable,span,
case_01,baseline_stratified,a_age,holds,holds,span,"sampled ages range from 17 to 90, with no values outside that range observed"
case_01,baseline_stratified,a_sex,holds,holds,span,only Male and Female observed across all samples
case_01,baseline_stratified,a_race,violated,holds,span,"5 distinct values observed: White, Black, Asian-Pac-Islander, Amer-Indian-Eskimo, Other"
case_01,baseline_stratified,a_income,holds,holds,span,only these two values observed in samples
case_01,baseline_stratified,a_hours,holds,holds,span,"sampled hours_per_week values range from 1 to 99, matching the claim"
case_01,baseline_stratified,a_nulls,violated,violated,span,"at least one row has a genuinely empty (blank) cell instead of '?', e.g. ""40,Private,214242,HS-grad,9,Married-civ-spouse,,Husband,White,Male,0,0,50,United-States,<=50K"" has a blank occupation field"
case_01,baseline_stratified,a_mean_age,violated,violated,span,"sample-based mean age is approximately 38 years (e.g. a 50-row manual sample averaged ~38.0), consistent with this dataset's well-known overall mean age of ~38.6 years"
case_02,agent,p_prov,unverifiable,unverifiable,span,
case_02,agent,p_rows,holds,holds,span,row_count=344
